Partner Name,Tier,Location,References,Certified Experts,Profile URL,Certified Versions,References Total,Customer Retention %,Largest Reference Users,Average Reference Users,Reference Industries,RI_Agriculture,RI_Construction_Renovation,RI_ECO_liable_to_deduct_TCS_u_s_52,RI_ECO_liable_to_pay_GST_u_s_9_5,RI_Education,RI_Entertainment_Media,RI_Finance_Legal_Insurance,RI_Food_Hospitality_Tourism_Beverage,RI_Government,RI_HR_Administrative_Consulting,RI_Health_Social_Welfare_Pharmaceutical,RI_Households,RI_IT_Communication_Marketing,RI_Manufacturing_Maintenance,RI_Mining_Quarrying,RI_NGO,RI_Other_Services,RI_Real_Estate,RI_Science_Technology,RI_Transportation_Logistics,RI_Utilities_Energy_Water_supply,RI_Wholesale_Retail
ODION GmbH,Gold,"Germany , Saarbrücken , 66115",32,10,https://www.odoo.com/partners/odion-gmbh-1566500,v19:2; v18:6; v17:2,32.0,97.0,500,33,IT / Communication / Marketing 7 Construction & Renovation 6 Manufacturing / Maintenance 6 Other Services 4 Food / Hospitality / Tourism / Beverage 2 Utilities / Energy / Water supply 2 Wholesale / Retail 2 HR / Administrative / Consulting 2 Science & Technology 1 Transportation/Logistics 1,0,6,0,0,0,0,0,2,0,2,0,0,7,6,0,0,4,0,1,1,2,2
THAVAS S.A.,Gold,"Panama , Panamá , /",32,6,https://www.odoo.com/partners/thavas-sa-5933037,v18:6,32.0,100.0,200,23,Wholesale / Retail 14 Construction & Renovation 3 Entertainment / Media 3 Mining & Quarrying 2 Other Services 2 IT / Communication / Marketing 2 Food / Hospitality / Tourism / Beverage 1 Real Estate 1,0,3,0,0,0,3,0,1,0,0,0,0,2,0,2,0,2,1,0,0,0,14
Techscope,Gold,"Egypt , Giza , Mohandseen",32,6,https://www.odoo.com/partners/techscope-1909598,v18:2; v17:4,32.0,85.0,300,32,Manufacturing / Maintenance 9 Wholesale / Retail 5 Food / Hospitality / Tourism / Beverage 5 Agriculture 3 Education 3 Finance / Legal / Insurance 2 Construction & Renovation 2 Transportation/Logistics 2 Health / Social Welfare / Pharmaceutical 1 IT / Communication / Marketing 1,3,2,0,0,3,0,2,5,0,0,1,0,1,9,0,0,0,0,0,2,0,5
"CU SOLUTION SYSTEM CO., LTD.",Gold,"Thailand , Muang Samut Prakarn , 10270",31,8,https://www.odoo.com/partners/cu-solution-system-co-ltd-4822470,v19:3; v18:4; v17:1,31.0,97.0,50,11,Wholesale / Retail 11 Manufacturing / Maintenance 8 Other Services 7 Transportation/Logistics 4 Food / Hospitality / Tourism / Beverage 3 IT / Communication / Marketing 2 Real Estate 2 Utilities / Energy / Water supply 1 Mining & Quarrying 1 Construction & Renovation 1,0,1,0,0,0,0,0,3,0,0,0,0,2,8,1,0,7,2,0,4,1,11
Lixie Studio Digital,Gold,"Venezuela , Caracas , 1060",31,5,https://www.odoo.com/partners/lixie-studio-digital-7987439,v18:4; v17:1,31.0,,400,33,Wholesale / Retail 8 Health / Social Welfare / Pharmaceutical 4 IT / Communication / Marketing 3 Food / Hospitality / Tourism / Beverage 2 Construction & Renovation 1 Other Services 1 Manufacturing / Maintenance 1 Households 1,0,1,0,0,0,0,0,2,0,0,4,1,3,1,0,0,1,0,0,0,0,8
Plementus UAE,Gold,"United Arab Emirates , Dubai , Dubai , 414494",31,6,https://www.odoo.com/partners/plementus-uae-16745486,v18:2; v17:4,31.0,100.0,100,20,Wholesale / Retail 6 Transportation/Logistics 4 Manufacturing / Maintenance 4 Utilities / Energy / Water supply 3 Entertainment / Media 3 IT / Communication / Marketing 2 Food / Hospitality / Tourism / Beverage 2 Real Estate 1 NGO 1 Government 1,0,0,0,0,0,3,0,2,1,0,0,0,2,4,0,1,0,1,0,4,3,6
Sampa Mind Com SRL,Gold,"Romania , Bucharest , 014336",31,6,https://www.odoo.com/partners/sampa-mind-com-srl-4612629,v17:6,31.0,81.0,200,29,IT / Communication / Marketing 7 Construction & Renovation 6 Other Services 4 Wholesale / Retail 3 Manufacturing / Maintenance 3 Science & Technology 1 Agriculture 1,1,6,0,0,0,0,0,0,0,0,0,0,7,3,0,0,4,0,1,0,0,3
Compañía Group Solutions S.A,Gold,"Ecuador , Guayaquil , 090513",30,6,https://www.odoo.com/partners/compania-group-solutions-sa-1271246,v19:2; v17:4,30.0,86.0,200,34,Wholesale / Retail 11 IT / Communication / Marketing 5 Finance / Legal / Insurance 3 Science & Technology 2 Manufacturing / Maintenance 2 Health / Social Welfare / Pharmaceutical 1 Construction & Renovation 1 Food / Hospitality / Tourism / Beverage 1,0,1,0,0,0,0,3,1,0,0,1,0,5,2,0,0,0,0,2,0,0,11
GLOBAL KREATIF INOVASI,Gold,"Indonesia , Jakarta , Kota Administrasi Jakarta Barat , 11470",30,5,https://www.odoo.com/partners/global-kreatif-inovasi-23551357,v18:5,30.0,100.0,300,35,Manufacturing / Maintenance 7 Wholesale / Retail 5 IT / Communication / Marketing 3 Agriculture 2 Construction & Renovation 2 Other Services 2 Food / Hospitality / Tourism / Beverage 1 Government 1 Health / Social Welfare / Pharmaceutical 1 Finance / Legal / Insurance 1,2,2,0,0,0,0,1,1,1,0,1,0,3,7,0,0,2,0,0,0,0,5
simpit GmbH,Gold,"Switzerland , Luzern , 6004",30,6,https://www.odoo.com/partners/simpit-gmbh-1397858,v18:4; v17:2,30.0,97.0,200,24,Manufacturing / Maintenance 5 Transportation/Logistics 4 IT / Communication / Marketing 4 Wholesale / Retail 3 Health / Social Welfare / Pharmaceutical 3 Other Services 2 Construction & Renovation 2 Education 1 HR / Administrative / Consulting 1 Food / Hospitality / Tourism / Beverage 1,0,2,0,0,1,0,0,1,0,1,3,0,4,5,0,0,2,0,0,4,0,3
SFERAZUL,Gold,"Mexico , Ciudad de México , MIGUEL HIDALGO , 11000",29,5,https://www.odoo.com/partners/sferazul-6460299,v17:5,29.0,85.0,200,26,IT / Communication / Marketing 7 Food / Hospitality / Tourism / Beverage 4 Health / Social Welfare / Pharmaceutical 4 Transportation/Logistics 3 Wholesale / Retail 2 Construction & Renovation 2 HR / Administrative / Consulting 2 Real Estate 1 Finance / Legal / Insurance 1 Education 1,0,2,0,0,1,0,1,4,0,2,4,0,7,0,0,0,0,1,0,3,0,2
INFORISE,Gold,"Qatar , Doha , +974 71141149",28,6,https://www.odoo.com/partners/inforise-11670395,v19:3; v18:2; v17:1,28.0,92.0,200,17,Food / Hospitality / Tourism / Beverage 7 Wholesale / Retail 7 Entertainment / Media 3 Real Estate 3 Utilities / Energy / Water supply 2 Education 2 Construction & Renovation 1 Science & Technology 1 Other Services 1 HR / Administrative / Consulting 1,0,1,0,0,2,3,0,7,0,1,0,0,0,0,0,0,1,3,1,0,2,7
Port Cities France SAS,Gold,"France , Marseille , 13008",28,6,https://www.odoo.com/partners/port-cities-france-sas-5953324,v17:6,28.0,91.0,400,56,Other Services 5 Manufacturing / Maintenance 4 Construction & Renovation 3 Wholesale / Retail 2 Education 1 Utilities / Energy / Water supply 1 Food / Hospitality / Tourism / Beverage 1 Government 1 Transportation/Logistics 1,0,3,0,0,1,0,0,1,1,0,0,0,0,4,0,0,5,0,0,1,1,2
Perfect-tech - KSA,Gold,"Saudi Arabia , Riyadh",27,3,https://www.odoo.com/partners/perfect-tech-ksa-13440023,v17:3,27.0,96.0,100,13,Wholesale / Retail 6 Construction & Renovation 5 Food / Hospitality / Tourism / Beverage 4 Real Estate 2 Manufacturing / Maintenance 2 Transportation/Logistics 2 Agriculture 1 Health / Social Welfare / Pharmaceutical 1 Education 1 HR / Administrative / Consulting 1,1,5,0,0,1,0,0,4,0,1,1,0,0,2,0,0,0,2,0,2,0,6
braintec Deutschland,Gold,"Germany , Böblingen , 71034",26,4,https://www.odoo.com/partners/braintec-deutschland-137500,v18:2; v17:2,26.0,100.0,200,45,Health / Social Welfare / Pharmaceutical 7 Manufacturing / Maintenance 6 IT / Communication / Marketing 5 Utilities / Energy / Water supply 4 Wholesale / Retail 1 Households 1 Construction & Renovation 1 Science & Technology 1 Food / Hospitality / Tourism / Beverage 1 Transportation/Logistics 1,0,1,0,0,0,0,0,1,0,0,7,1,5,6,0,0,0,0,1,1,4,1
FMG Soft LLC,Gold,"Georgia , Tbilisi",25,9,https://www.odoo.com/partners/fmg-soft-llc-20134876,v18:6; v17:3,25.0,89.0,200,22,Wholesale / Retail 4 Other Services 4 Health / Social Welfare / Pharmaceutical 2 Education 2 Construction & Renovation 1 Entertainment / Media 1 Manufacturing / Maintenance 1,0,1,0,0,2,1,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,4
Xmarts Brasil,Gold,"Brazil , FOZ DO IGUACU , 85851-040",24,9,https://www.odoo.com/partners/xmarts-brasil-12995187,v18:4; v17:5,24.0,,200,34,Wholesale / Retail 3 Finance / Legal / Insurance 3 IT / Communication / Marketing 2 Science & Technology 1 Food / Hospitality / Tourism / Beverage 1 Education 1 Manufacturing / Maintenance 1 Entertainment / Media 1 Health / Social Welfare / Pharmaceutical 1 Transportation/Logistics 1,0,0,0,0,1,1,3,1,0,0,1,0,2,1,0,0,0,0,1,1,0,3
"Malaya Tech Consulting, Inc.",Gold,"Philippines , Taguig , 1634",23,5,https://www.odoo.com/partners/malaya-tech-consulting-inc-4101174,v18:2; v17:3,23.0,100.0,200,45,Health / Social Welfare / Pharmaceutical 3 Wholesale / Retail 3 Manufacturing / Maintenance 3 Finance / Legal / Insurance 2 Food / Hospitality / Tourism / Beverage 2 IT / Communication / Marketing 2 Science & Technology 1 Transportation/Logistics 1 Other Services 1 Construction & Renovation 1,0,1,0,0,0,0,2,2,0,0,3,0,2,3,0,0,1,0,1,1,0,3
Navabrind IT Solutions Pvt Ltd,Gold,"India , Karnataka , Bangalore , 560068",23,7,https://www.odoo.com/partners/navabrind-it-solutions-pvt-ltd-697848,v18:6; v17:1,23.0,91.0,200,27,Wholesale / Retail 4 IT / Communication / Marketing 3 Other Services 2 Food / Hospitality / Tourism / Beverage 2 Science & Technology 2 Manufacturing / Maintenance 2 Finance / Legal / Insurance 1 Health / Social Welfare / Pharmaceutical 1,0,0,0,0,0,0,1,2,0,0,1,0,3,2,0,0,2,0,2,0,0,4
ELIPSYS,Gold,"Ecuador , Machala , 070206",21,6,https://www.odoo.com/partners/elipsys-16440765,v17:6,21.0,92.0,1100,48,Health / Social Welfare / Pharmaceutical 5 Wholesale / Retail 5 Food / Hospitality / Tourism / Beverage 4 IT / Communication / Marketing 3 Entertainment / Media 1 Transportation/Logistics 1 Science & Technology 1 Real Estate 1,0,0,0,0,0,1,0,4,0,0,5,0,3,0,0,0,0,1,1,1,0,5
Hossen Financial Consultancy Ltd,Gold,"Mauritius , Ebene Cybercity , 72201",20,7,https://www.odoo.com/partners/hossen-financial-consultancy-ltd-14348069,v19:1; v18:6,20.0,100.0,200,23,Other Services 5 Manufacturing / Maintenance 4 Wholesale / Retail 4 IT / Communication / Marketing 2 Science & Technology 1 Construction & Renovation 1 Food / Hospitality / Tourism / Beverage 1 Education 1 Real Estate 1,0,1,0,0,1,0,0,1,0,0,0,0,2,4,0,0,5,1,1,0,0,4
Closyss Technologies LLP,Gold,"India , Maharashtra , Mumbai , 400022",19,5,https://www.odoo.com/partners/closyss-technologies-llp-13254479,v18:3; v17:2,19.0,100.0,300,36,Manufacturing / Maintenance 7 Health / Social Welfare / Pharmaceutical 3 Finance / Legal / Insurance 2 Wholesale / Retail 2 Utilities / Energy / Water supply 1 Food / Hospitality / Tourism / Beverage 1 Construction & Renovation 1 IT / Communication / Marketing 1,0,1,0,0,0,0,2,1,0,0,3,0,1,7,0,0,0,0,0,0,1,2
Deep Vision,Gold,"Uzbekistan , Tashkent , 100180",19,7,https://www.odoo.com/partners/deep-vision-20968544,v19:3; v18:1; v17:3,19.0,95.0,100,18,Wholesale / Retail 12 Manufacturing / Maintenance 7 IT / Communication / Marketing 1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,12
Birtum,Gold,"Argentina , Buenos Aires , Caba , C1054",18,4,https://www.odoo.com/partners/birtum-7599441,v18:3; v17:1,18.0,89.0,200,30,Other Services 4 Manufacturing / Maintenance 2 Food / Hospitality / Tourism / Beverage 2 IT / Communication / Marketing 2 Wholesale / Retail 1 Health / Social Welfare / Pharmaceutical 1 Utilities / Energy / Water supply 1,0,0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,4,0,0,0,1,1
Brainvire Infotech INC,Gold,"Singapore , Singapore , 089747",18,5,https://www.odoo.com/partners/brainvire-infotech-inc-1613510,v18:5,18.0,100.0,200,36,Wholesale / Retail 5 Manufacturing / Maintenance 4 IT / Communication / Marketing 3 Finance / Legal / Insurance 2 Food / Hospitality / Tourism / Beverage 2 Other Services 1 Education 1 Utilities / Energy / Water supply 1 Construction & Renovation 1 Transportation/Logistics 1,0,1,0,0,1,0,2,2,0,0,0,0,3,4,0,0,1,0,0,1,1,5
MI ERP,Gold,"Colombia , Pereira , 660003",17,6,https://www.odoo.com/partners/mi-erp-13747557,v19:3; v18:2; v17:1,17.0,100.0,400,44,Science & Technology 3 Manufacturing / Maintenance 2 Agriculture 2 Wholesale / Retail 2 Health / Social Welfare / Pharmaceutical 2 Real Estate 1 Food / Hospitality / Tourism / Beverage 1 IT / Communication / Marketing 1 Transportation/Logistics 1,2,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,1,3,1,0,2
Openinside Co. W.L.L.,Gold,"Bahrain , AL SEEF , /",17,7,https://www.odoo.com/partners/openinside-co-wll-20686,v19:1; v18:1; v17:5,17.0,100.0,1600,141,Other Services 9 Food / Hospitality / Tourism / Beverage 4 Construction & Renovation 3 IT / Communication / Marketing 3 Science & Technology 2 Wholesale / Retail 2 Manufacturing / Maintenance 1 Utilities / Energy / Water supply 1 Health / Social Welfare / Pharmaceutical 1 Real Estate 1,0,3,0,0,0,0,0,4,0,0,1,0,3,1,0,0,9,1,2,0,1,2
TICSTRATEGY S.A.S,Gold,N/A,17,8,https://www.odoo.com/partners/ticstrategy-sas-20335658,v18:5; v17:3,17.0,,200,28,Manufacturing / Maintenance 3 IT / Communication / Marketing 3 Wholesale / Retail 3 Health / Social Welfare / Pharmaceutical 2 Science & Technology 2 Transportation/Logistics 1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,2,1,0,3
PROPERTY HIVE TECHNOLOGIES CO. LLC.,Gold,"United Arab Emirates , Dubai , Dubai , 25315",16,6,https://www.odoo.com/partners/property-hive-technologies-co-llc-23287731,v18:5; v17:1,16.0,91.0,200,21,Real Estate 21 IT / Communication / Marketing 3 Wholesale / Retail 1 Science & Technology 1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,21,1,0,0,1
Sinergi Karya Solusindo,Gold,"Indonesia , Banten , Tangerang Selatan , 15314",16,6,https://www.odoo.com/partners/sinergi-karya-solusindo-18978507,v18:4; v17:2,16.0,94.0,200,60,Wholesale / Retail 3 Real Estate 2 Manufacturing / Maintenance 2 Transportation/Logistics 1 Health / Social Welfare / Pharmaceutical 1 Food / Hospitality / Tourism / Beverage 1 Construction & Renovation 1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,1,0,3
braintec Österreich,Gold,"Austria , Wien , 1100",16,9,https://www.odoo.com/partners/braintec-osterreich-4462895,v19:1; v18:5; v17:3,16.0,100.0,500,39,Manufacturing / Maintenance 3 Wholesale / Retail 3 Construction & Renovation 2 IT / Communication / Marketing 1 Health / Social Welfare / Pharmaceutical 1 Science & Technology 1 Other Services 1 Food / Hospitality / Tourism / Beverage 1 Utilities / Energy / Water supply 1,0,2,0,0,0,0,0,1,0,0,1,0,1,3,0,0,1,0,1,0,1,3
3PAR1 VENEZUELA C.A.,Gold,"Venezuela , Trujillo , Valera , 3101",15,6,https://www.odoo.com/partners/3par1-venezuela-ca-6055499,v18:2; v17:4,15.0,83.0,400,32,Health / Social Welfare / Pharmaceutical 2 Food / Hospitality / Tourism / Beverage 1 Other Services 1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Captivea Canada,Gold,"Canada , Quebec , Brossard , J4Y 0B6",15,3,https://www.odoo.com/partners/captivea-canada-10652459,v19:1; v18:1; v17:1,15.0,93.0,300,43,Manufacturing / Maintenance 8 Wholesale / Retail 2 Health / Social Welfare / Pharmaceutical 1 Transportation/Logistics 1 HR / Administrative / Consulting 1 Construction & Renovation 1,0,1,0,0,0,0,0,0,0,1,1,0,0,8,0,0,0,0,0,1,0,2
Odify,Gold,"Azerbaijan , Baku",13,6,https://www.odoo.com/partners/odify-13934208,v18:6,13.0,100.0,300,27,Construction & Renovation 3 Education 2 Finance / Legal / Insurance 1 Government 1 Food / Hospitality / Tourism / Beverage 1 Science & Technology 1 Other Services 1 Manufacturing / Maintenance 1 Wholesale / Retail 1 Transportation/Logistics 1,0,3,0,0,2,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1
Arrow Information Technology,Gold,"Saudi Arabia , Riyadh , Riyadh , 1",12,7,https://www.odoo.com/partners/arrow-information-technology-6697238,v18:2; v17:5,12.0,,100,36,Construction & Renovation 2 Finance / Legal / Insurance 1 Manufacturing / Maintenance 1 HR / Administrative / Consulting 1 Wholesale / Retail 1 IT / Communication / Marketing 1,0,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
Future Of Technology,Gold,"Iraq , Baghdad - Erbil - Najaf , 401",12,6,https://www.odoo.com/partners/future-of-technology-12629377,v18:5; v17:1,12.0,94.0,600,47,Health / Social Welfare / Pharmaceutical 3 IT / Communication / Marketing 3 Wholesale / Retail 1 Construction & Renovation 1 Other Services 1,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,1
ALLNETWORKS TRINIDAD,Gold,"Trinidad and Tobago , Port of Spain",11,0,https://www.odoo.com/partners/allnetworks-trinidad-12152345,,11.0,100.0,1000,126,Transportation/Logistics 4 Other Services 1 Manufacturing / Maintenance 1 Food / Hospitality / Tourism / Beverage 1 Wholesale / Retail 1 Government 1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,4,0,1
Nated systems (Pty) Ltd,Gold,"South Africa , Durban North , 4051",11,5,https://www.odoo.com/partners/nated-systems-pty-ltd-6437102,v17:5,11.0,83.0,400,50,Manufacturing / Maintenance 4 Government 2 IT / Communication / Marketing 1 Real Estate 1,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,1,0,0,0,0
Bista Solutions Canada,Gold,"Canada , Quebec , Montréal , H3A 3L3",10,1,https://www.odoo.com/partners/bista-solutions-canada-847944,v19:1,10.0,86.0,100,26,Wholesale / Retail 3 IT / Communication / Marketing 2 Utilities / Energy / Water supply 1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3
الجريسي للخدمات الإلكترونية,Gold,"Saudi Arabia , Riyadh , 12271",10,8,https://www.odoo.com/partners/الجريسي-للخدمات-الالكترونية-10070517,v19:3; v18:1; v17:4,10.0,,300,63,IT / Communication / Marketing 3 Government 2 Finance / Legal / Insurance 1 NGO 1 Manufacturing / Maintenance 1 Wholesale / Retail 1 Transportation/Logistics 1,0,0,0,0,0,0,1,0,2,0,0,0,3,1,0,1,0,0,0,1,0,1
Cloud Lion,Gold,"Canada , Quebec , Lévis , G6W 0M6",5,9,https://www.odoo.com/partners/cloud-lion-19166447,v18:9,5.0,100.0,300,76,Other Services 3 Construction & Renovation 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Accomodata BV,Silver,"Belgium , RONSE , 9600",174,13,https://www.odoo.com/partners/accomodata-bv-4989224,v19:3; v18:3; v17:7,174.0,91.0,200,9,Wholesale / Retail 55 Construction & Renovation 23 IT / Communication / Marketing 18 Manufacturing / Maintenance 16 Food / Hospitality / Tourism / Beverage 16 Other Services 14 Utilities / Energy / Water supply 6 Entertainment / Media 6 Science & Technology 5 Finance / Legal / Insurance 5,0,23,0,0,0,6,5,16,0,0,0,0,18,16,0,0,14,0,5,0,6,55
ZABYCA Asociados / MUNDO DIGITAL SMART CLICK,Silver,"Ecuador , Quito , 170504",162,0,https://www.odoo.com/partners/zabyca-asociados-mundo-digital-smart-click-942125,,162.0,98.0,100,7,Education 20 Wholesale / Retail 4 Finance / Legal / Insurance 3 Health / Social Welfare / Pharmaceutical 3 Food / Hospitality / Tourism / Beverage 2 Other Services 1 IT / Communication / Marketing 1 Science & Technology 1 Construction & Renovation 1,0,1,0,0,20,0,3,2,0,0,3,0,1,0,0,0,1,0,1,0,0,4
D4E - Digital4Efficiency Sàrl,Silver,"Switzerland , Genève , Le Grand-Saconnex , 1218",152,3,https://www.odoo.com/partners/d4e-digital4efficiency-sarl-2332854,v19:1; v18:1; v17:1,152.0,94.0,100,7,Construction & Renovation 43 Wholesale / Retail 18 Other Services 16 Manufacturing / Maintenance 13 Food / Hospitality / Tourism / Beverage 10 Finance / Legal / Insurance 7 Science & Technology 7 Health / Social Welfare / Pharmaceutical 5 Transportation/Logistics 4 IT / Communication / Marketing 3,0,43,0,0,0,0,7,10,0,0,5,0,3,13,0,0,16,0,7,4,0,18
"APUNTS INFORMÀTICA I TELECOMUNICACIONS, S.L.",Silver,"Spain , L´ALCUDIA (Valencia) , 46250",126,3,https://www.odoo.com/partners/apunts-informatica-i-telecomunicacions-sl-2074538,v18:2; v17:1,126.0,97.0,20,1,Manufacturing / Maintenance 32 Wholesale / Retail 23 Food / Hospitality / Tourism / Beverage 14 Other Services 10 Health / Social Welfare / Pharmaceutical 8 Entertainment / Media 6 Utilities / Energy / Water supply 6 Real Estate 5 Construction & Renovation 5 Finance / Legal / Insurance 4,0,5,0,0,0,6,4,14,0,0,8,0,0,32,0,0,10,5,0,0,6,23
EVATO BV,Silver,"Belgium , Antwerp , Bornem , 2880",126,5,https://www.odoo.com/partners/evato-bv-2182652,v18:2; v17:3,126.0,94.0,50,7,Wholesale / Retail 46 Manufacturing / Maintenance 20 Construction & Renovation 11 Science & Technology 5 Other Services 5 IT / Communication / Marketing 3 Education 3 HR / Administrative / Consulting 2 Health / Social Welfare / Pharmaceutical 1 Finance / Legal / Insurance 1,0,11,0,0,3,0,1,0,0,2,1,0,3,20,0,0,5,0,5,0,0,46
Appalach - Groupe Brainstorming,Silver,"Belgium , Ans , 4430",121,5,https://www.odoo.com/partners/appalach-groupe-brainstorming-2011856,v18:3; v17:2,121.0,93.0,40,5,Wholesale / Retail 21 Other Services 16 Manufacturing / Maintenance 12 Food / Hospitality / Tourism / Beverage 10 Education 7 Construction & Renovation 6 Health / Social Welfare / Pharmaceutical 5 Science & Technology 5 IT / Communication / Marketing 4 Utilities / Energy / Water supply 3,0,6,0,0,7,0,0,10,0,0,5,0,4,12,0,0,16,0,5,0,3,21
Prelium,Silver,"France , Wambrechies , 59118",120,3,https://www.odoo.com/partners/prelium-13121698,v19:1; v18:1; v17:1,120.0,96.0,100,9,Manufacturing / Maintenance 28 Wholesale / Retail 25 IT / Communication / Marketing 13 Other Services 13 Construction & Renovation 11 Food / Hospitality / Tourism / Beverage 9 Finance / Legal / Insurance 7 Science & Technology 3 Utilities / Energy / Water supply 3 Health / Social Welfare / Pharmaceutical 3,0,11,0,0,0,0,7,9,0,0,3,0,13,28,0,0,13,0,3,0,3,25
"IPGRUP INNOVATEC, S.L.",Silver,"Spain , Manresa , 08243",112,2,https://www.odoo.com/partners/ipgrup-innovatec-sl-4353862,v17:2,112.0,88.0,50,4,Wholesale / Retail 10 Construction & Renovation 7 Manufacturing / Maintenance 6 Science & Technology 6 IT / Communication / Marketing 5 Utilities / Energy / Water supply 4 Food / Hospitality / Tourism / Beverage 4 Transportation/Logistics 4 Other Services 3 Health / Social Welfare / Pharmaceutical 2,0,7,0,0,0,0,0,4,0,0,2,0,5,6,0,0,3,0,6,4,4,10
SMART ENTERPRISE RESOURCES PLANNING AFRICA (PRIVATE) LIMITED,Silver,N/A,108,3,https://www.odoo.com/partners/smart-enterprise-resources-planning-africa-private-limited-5471274,v17:3,108.0,,100,8,Manufacturing / Maintenance 12 Wholesale / Retail 6 IT / Communication / Marketing 5 Science & Technology 5 Finance / Legal / Insurance 4 Transportation/Logistics 3 Construction & Renovation 3 Health / Social Welfare / Pharmaceutical 2 Utilities / Energy / Water supply 2 Real Estate 2,0,3,0,0,0,0,4,0,0,0,2,0,5,12,0,0,0,2,5,3,2,6
Ganemo,Silver,"Peru , Lima , 15000",105,6,https://www.odoo.com/partners/ganemo-2996254,v18:6,105.0,82.0,300,12,Wholesale / Retail 17 Finance / Legal / Insurance 16 Manufacturing / Maintenance 9 Other Services 8 Food / Hospitality / Tourism / Beverage 8 Health / Social Welfare / Pharmaceutical 6 IT / Communication / Marketing 5 Agriculture 3 Construction & Renovation 2 Science & Technology 2,3,2,0,0,0,0,16,8,0,0,6,0,5,9,0,0,8,0,2,0,0,17
INFORISE,Silver,"Saudi Arabia , Al Khobar , | Riyadh , +966 54 699 0941",104,2,https://www.odoo.com/partners/inforise-643956,v18:1; v17:1,104.0,90.0,100,10,Wholesale / Retail 21 Real Estate 21 Food / Hospitality / Tourism / Beverage 7 Other Services 7 Construction & Renovation 6 Government 5 Utilities / Energy / Water supply 4 NGO 4 Finance / Legal / Insurance 4 Health / Social Welfare / Pharmaceutical 4,0,6,0,0,0,0,4,7,5,0,4,0,0,0,0,4,7,21,0,0,4,21
NSI IT Software & Services S.A,Silver,"Belgium , Awans , 4340",104,10,https://www.odoo.com/partners/nsi-it-software-services-sa-2442116,v18:6; v17:4,104.0,98.0,500,17,Food / Hospitality / Tourism / Beverage 19 Construction & Renovation 13 Wholesale / Retail 11 Education 8 Other Services 8 Health / Social Welfare / Pharmaceutical 8 Manufacturing / Maintenance 8 Utilities / Energy / Water supply 5 Government 5 IT / Communication / Marketing 4,0,13,0,0,8,0,0,19,5,0,8,0,4,8,0,0,8,0,0,0,5,11
LANDOO Sistemas de Información S.L.,Silver,"Spain , Gipuzkoa (Guipúzcoa) , San Sebastian , 20018",101,4,https://www.odoo.com/partners/landoo-sistemas-de-informacion-sl-965780,v18:1; v17:3,101.0,93.0,200,11,Manufacturing / Maintenance 22 Wholesale / Retail 16 Other Services 11 Food / Hospitality / Tourism / Beverage 9 IT / Communication / Marketing 8 Science & Technology 7 Health / Social Welfare / Pharmaceutical 5 Agriculture 5 Entertainment / Media 4 Construction & Renovation 3,5,3,0,0,0,4,0,9,0,0,5,0,8,22,0,0,11,0,7,0,0,16
Agitech Brussels,Silver,"Belgium , Auderghem , 1160",93,4,https://www.odoo.com/partners/agitech-brussels-6875693,v18:2; v17:2,93.0,97.0,200,7,Food / Hospitality / Tourism / Beverage 10 Wholesale / Retail 9 IT / Communication / Marketing 8 Health / Social Welfare / Pharmaceutical 7 Education 7 Utilities / Energy / Water supply 6 Other Services 5 Construction & Renovation 5 Transportation/Logistics 3 Science & Technology 3,0,5,0,0,7,0,0,10,0,0,7,0,8,0,0,0,5,0,3,3,6,9
Ouiddoo,Silver,"France , Angers, Nantes , 49100",92,3,https://www.odoo.com/partners/ouiddoo-5579951,v19:1; v18:1; v17:1,92.0,91.0,100,7,Manufacturing / Maintenance 23 Wholesale / Retail 17 Other Services 12 IT / Communication / Marketing 10 Food / Hospitality / Tourism / Beverage 7 NGO 5 Education 4 Transportation/Logistics 3 Agriculture 3 Construction & Renovation 2,3,2,0,0,4,0,0,7,0,0,0,0,10,23,0,5,12,0,0,3,0,17
